TimeStamp,Spot,CE_IV,PE_IV
2024-12-31 09:16:01,51069.12,15.50094099423012,15.609116104065922
2024-12-31 09:21:01,51146.25,15.592575908176915,15.741949736378263
2024-12-31 09:26:01,51133.0,15.672882448316406,15.87594299267881
2024-12-31 09:31:01,51200.32,15.565819435630484,15.823378256370935
2024-12-31 09:36:01,51191.71,15.617381602669175,15.678077701192064
2024-12-31 09:41:01,51273.88,15.488563600019914,15.71228571318613
2024-12-31 09:46:01,51134.73,15.74296590465836,15.899764531327993
2024-12-31 09:51:01,51105.09,15.75686631292403,15.887677311935402
2024-12-31 09:56:01,51107.07,15.720313382612094,15.865392826962783
2024-12-31 10:01:01,51151.22,15.460258344165197,15.694826995664727
2024-12-31 10:06:01,51094.94,15.530059128896099,15.794135437037971
2024-12-31 10:11:01,51041.46,15.787246851919875,16.01026228532916
2024-12-31 10:16:01,51111.15,15.574556644592462,15.671428062372728
2024-12-31 10:21:01,51160.61,15.530872528578534,15.713511910824687
2024-12-31 10:26:01,51195.98,15.616230912512657,15.541208272838281
2024-12-31 10:31:01,51197.42,15.572987087905165,15.635217644885566
2024-12-31 10:36:01,51237.51,15.573935485045807,15.64690423588787
2024-12-31 10:41:01,51212.3,15.603641867812962,15.63376728733373
2024-12-31 10:46:01,51229.89,15.606586400793688,15.643855831091782
2024-12-31 10:51:01,51197.97,15.609081289220377,15.625581289237136
2024-12-31 10:56:01,51265.63,15.56884838151663,15.734711156674418
2024-12-31 11:01:01,51237.81,15.620740060749696,15.623461962285756
2024-12-31 11:06:01,51211.05,15.467911255129357,15.629164929238593
2024-12-31 11:11:01,51273.66,15.53297396021341,15.519264225484756
2024-12-31 11:16:01,51324.62,15.396626884065551,15.521698591944475
2024-12-31 11:21:01,51258.78,15.387629972300761,15.362758021166217
2024-12-31 11:26:01,51249.21,15.367222091406454,15.465214995400753
2024-12-31 11:31:01,51200.84,15.370857329796614,15.586980171453208
2024-12-31 11:36:01,51201.87,15.336658988639257,15.600939178065975
2024-12-31 11:41:01,51165.36,15.359006333413564,15.544460029477685
2024-12-31 11:46:01,51220.48,15.2823273283074,15.574914362593734
2024-12-31 11:51:01,51211.91,15.504536400964785,15.568008755986561
2024-12-31 11:56:01,51163.01,15.423167700599008,15.558503705928581
2024-12-31 12:01:01,51182.32,15.400316575936115,15.588809137161197
2024-12-31 12:06:01,51163.0,15.415178494946922,15.503095932191027
2024-12-31 12:11:01,51163.65,15.503749041359182,15.499688893200867
2024-12-31 12:16:01,51154.3,15.375656066551544,15.651513405662975
2024-12-31 12:21:01,51184.16,15.393518478873006,15.421418367164922
2024-12-31 12:26:01,51212.03,15.40733333543989,15.442634543156727
2024-12-31 12:31:01,51224.65,15.382308024054044,15.601881095387544
2024-12-31 12:36:01,51237.0,15.42047359117033,15.563021597358464
2024-12-31 12:41:01,51234.73,15.366617701613109,15.55315426774283
2024-12-31 12:46:01,51260.11,15.40162920558507,15.41196178104342
2024-12-31 12:51:01,51267.0,15.31378880096149,15.43082645003557
2024-12-31 12:56:01,51249.86,15.326969281602782,15.481729622027224
2024-12-31 13:01:01,51235.25,15.229159889106711,15.467669113747199
2024-12-31 13:06:01,51212.92,15.24588976332093,15.423796185906246
2024-12-31 13:11:01,51223.88,15.2480946419701,15.425158164663092
2024-12-31 13:16:01,51253.56,15.23056129634214,15.380239745356313
2024-12-31 13:21:01,51247.42,15.271956734968523,15.42470847559688
2024-12-31 13:26:01,51280.88,15.210243797756867,15.430902841948965
2024-12-31 13:31:01,51290.68,15.193206870757766,15.425113509154176
2024-12-31 13:36:01,51269.66,15.234383814002484,15.328541186982644
2024-12-31 13:41:01,51336.02,15.40639409264853,15.454510828449596
2024-12-31 13:46:01,51312.76,15.350204015804007,15.408504591970956
2024-12-31 13:51:01,51296.71,15.350987684093292,15.487890235509806
2024-12-31 13:56:01,51315.9,15.43988125636323,15.408954268587753
2024-12-31 14:01:01,51288.11,15.260323197606382,15.513384384124617
2024-12-31 14:06:01,51312.17,15.429204151776515,15.478819010623793
2024-12-31 14:11:01,51320.38,15.34800354841417,15.476549622443269
2024-12-31 14:16:01,51304.27,15.31094387965756,15.419896031401107
2024-12-31 14:21:01,51264.96,15.197706550231644,15.444907494363862
2024-12-31 14:26:01,51230.51,15.392711636173177,15.564013310900771
2024-12-31 14:31:01,51211.52,15.441832156445178,15.421718676751489
2024-12-31 14:36:01,51247.8,15.302593690610914,15.353331218281753
2024-12-31 14:41:01,51264.72,15.223940200023883,15.37668451247097
2024-12-31 14:46:01,51295.8,15.152852469497994,15.296694435257544
2024-12-31 14:51:01,51269.2,15.289768867406792,15.274751148452415
2024-12-31 14:56:01,51247.6,15.44016106369168,15.410741136249625
2024-12-31 15:01:01,51263.4,15.3698551165217,15.358280905605948
2024-12-31 15:06:01,51261.22,15.323878436014207,15.299813509712894
2024-12-31 15:11:01,51264.43,15.388121245583896,15.303921308398122
2024-12-31 15:16:01,51301.87,15.402563630166425,15.241804100878866
2024-12-31 15:21:01,51307.64,15.440181404127395,15.306151958935915
2024-12-31 15:26:01,51282.06,15.385213542914414,15.240969893930084
2025-01-01 09:16:01,51257.2,15.419321252456394,15.493372248766569
2025-01-01 09:21:01,51135.46,15.413990267455985,15.69612520691194
2025-01-01 09:26:01,51104.5,15.494813776488419,15.749213732799324
2025-01-01 09:31:01,51111.45,15.580364039010183,15.684089542690504
2025-01-01 09:36:01,50966.73,15.8141430910032,15.957077283990879
2025-01-01 09:41:01,50972.09,15.79593499343192,16.018558845734525
2025-01-01 09:46:01,50929.93,16.103884327670524,16.099057717321934
2025-01-01 09:51:01,50907.15,15.966206402518004,16.033776107589304
2025-01-01 09:56:01,50924.18,15.945659465770415,16.053622081255746
2025-01-01 10:01:01,51028.88,15.80078509789781,15.85466839942332
2025-01-01 10:06:01,51000.8,15.753014892846076,15.939994187663576
2025-01-01 10:11:01,51078.33,15.645348382795685,15.820646621441279
2025-01-01 10:16:01,51159.0,15.440901008440399,15.608572405958729
2025-01-01 10:21:01,51176.17,15.625685822710475,15.600211137400514
2025-01-01 10:26:01,51253.33,15.543976014598027,15.585971689374666
2025-01-01 10:31:01,51248.32,15.67879224329305,15.584582088135077
2025-01-01 10:36:01,51194.72,15.50575101911268,15.550885086306446
2025-01-01 10:41:01,51231.52,15.649100193074178,15.569815211189495
2025-01-01 10:46:01,51249.4,15.578085958663198,15.561720938709762
2025-01-01 10:51:01,51512.54,15.620595248471215,15.520103377628356
2025-01-01 10:56:01,51504.59,15.55838849491348,15.67713207089883
2025-01-01 11:01:01,51514.38,15.530195213734684,15.536910380094767
2025-01-01 11:06:01,51454.35,15.460714596374528,15.509628423833298
2025-01-01 11:11:01,51439.97,15.336147068645461,15.506770469731713
2025-01-01 11:16:01,51446.47,15.413810580838852,15.626422954344838
2025-01-01 11:21:01,51503.93,15.43298856766048,15.606080947319988
2025-01-01 11:26:01,51441.95,15.502780836984304,15.43106509214839
2025-01-01 11:31:01,51399.31,15.504578260407223,15.57203801643379
2025-01-01 11:36:01,51335.36,15.554752847949857,15.73624203299729
2025-01-01 11:41:01,51330.26,15.63564160130449,15.561937829128675
2025-01-01 11:46:01,51388.33,15.538037648184869,15.599663275534281
2025-01-01 11:51:01,51392.82,15.539314072105059,15.652874716240953
2025-01-01 11:56:01,51340.25,15.653839749814999,15.626861378888698
2025-01-01 12:01:01,51352.95,15.498982485286493,15.482219550473308
2025-01-01 12:06:01,51412.62,15.518249355154929,15.45295992726608
2025-01-01 12:11:01,51435.16,15.407048472998486,15.600344816584059
2025-01-01 12:16:01,51481.95,15.445921171502059,15.426730785590703
2025-01-01 12:21:01,51514.5,15.42178054646902,15.632817548971401
2025-01-01 12:26:01,51496.24,15.55851216585173,15.56175664312977
2025-01-01 12:31:01,51477.27,15.469693134845098,15.565685240459153
2025-01-01 12:36:01,51459.44,15.404890311439932,15.573080248246807
2025-01-01 12:41:01,51441.92,15.490902134239182,15.718637906665892
2025-01-01 12:46:01,51456.72,15.440194853329151,15.640926851743497
2025-01-01 12:51:01,51432.55,15.49865263689367,15.624293682018688
2025-01-01 12:56:01,51404.98,15.494623092316651,15.669665739871247
2025-01-01 13:01:01,51400.5,15.466393410207575,15.587455481554958
2025-01-01 13:06:01,51387.77,15.453734779822708,15.553220316039662
2025-01-01 13:11:01,51390.85,15.377211680690165,15.604717743087635
2025-01-01 13:16:01,51387.43,15.446230326028443,15.573462281676424
2025-01-01 13:21:01,51415.15,15.499663233117806,15.500335016138608
2025-01-01 13:26:01,51436.23,15.409131535680231,15.62952168628472
2025-01-01 13:31:01,51451.94,15.385204786598317,15.56486343087643
2025-01-01 13:36:01,51424.34,15.43359526732291,15.483540098270648
2025-01-01 13:41:01,51489.85,15.326931184591352,15.445325381871097
2025-01-01 13:46:01,51480.48,15.343962108822485,15.469199569341846
2025-01-01 13:51:01,51472.66,15.364375927395496,15.481799888242579
2025-01-01 13:56:01,51539.83,15.369559169603054,15.351599397007465
2025-01-01 14:01:01,51634.05,15.376616551189192,15.429232249622011
2025-01-01 14:06:01,51641.58,15.186836409216156,15.353755644128105
2025-01-01 14:11:01,51591.9,15.30430745477887,15.232960793165912
2025-01-01 14:16:01,51578.57,15.203597589704726,15.269627374517084
2025-01-01 14:21:01,51560.46,15.12953834793297,15.338051607274577
2025-01-01 14:26:01,51583.07,15.109664701299726,15.30684981345381
2025-01-01 14:31:01,51547.2,15.135283483136972,15.403400180899329
2025-01-01 14:36:01,51529.45,15.299677485445093,15.184856462146815
2025-01-01 14:41:01,51535.56,15.177010014385075,15.386108918178815
2025-01-01 14:46:01,51467.6,15.218761385843816,15.453649316410742
2025-01-01 14:51:01,51460.14,15.284817484447128,15.432785081450717
2025-01-01 14:56:01,51421.0,15.4594825939834,15.459279195892137
2025-01-01 15:01:01,51420.9,15.3495279018313,15.644700789928056
2025-01-01 15:06:01,51407.65,15.337529932064895,15.450064094148097
2025-01-01 15:11:01,51417.37,15.280230208657883,15.548023174847863
2025-01-01 15:16:01,51435.73,15.451649876693615,15.508250416633457
2025-01-01 15:21:01,51442.17,15.56617705800885,15.460922184035544
2025-01-01 15:26:01,51468.15,15.431993871881375,15.390315174661911
